,名稱,分類,上映日期,劇情介紹
31,真人快打,動作,2021-04-08,在《真人快打》中，綜合格鬥（MMA）選手「科爾楊」被指控收賄故意打輸，他並不知道自己的身世，也不知道為何「外世界（Outworld）」的帝王「尚宗」要派出旗下首席戰士來獵捕他，此戰士「絕對零度」是一名超脫的寒冰法師（Cryomancer）。科爾擔心家人的安危，於是在「賈克斯」的指點下去找「刀鋒索尼婭」。賈克斯是特種部隊的少校，身上有著跟科爾胎記一樣的神龍記號。科爾很快就來到「雷電」的寺廟，雷電是一名古神，負責守衛「地域（Earthrealm）」，他會庇護身上有神龍記號的人。科爾在這裡跟老練戰士「劉康」、「空佬」和強悍傭兵「加納」一起訓練，他準備好跟地球最強的冠軍聯手，為了宇宙展開一場高風險戰役，並肩對抗外世界的敵人。可是，科爾會被激發潛力，解開他內心巨大力量的「奧祕（arcana）」，及時拯救他的家人，並從此阻止外世界？
32,哥吉拉大戰金剛,動作,2021-03-24,兩位神級巨獸展開史詩般的殊死一戰，當傳奇正面對決時，世界的命運危在旦夕。金剛與牠的保護者，踏上危險的旅程，尋找牠真正的家園，同行的還有吉雅，這名年輕的小孤女，與金剛間有著獨特且強大的聯繫。但他們意外地與憤怒的哥吉拉狹路相逢，並在全球引發一片腥風血雨。這起由無形力量所激化的兩個巨獸間的史詩級衝突，僅是深藏地心之謎的冰山一角。
33,太陽不會動,動作,2021-03-19,★日本影帝藤原龍也ｘ韓國影后韓孝周遠赴保加利亞實景拍攝★頂尖特務諜對諜！★《浴血任務3》製作團隊改編人氣小說重金跨國拍攝諜戰鉅作★關鍵倒數24小時挑戰人性極限與死亡的威脅秘密組織AN集團為了防堵旗下特務出賣公司，於是祭出心臟炸彈手段。一旦超過24小時他們未回報總部任務進度，就會被炸得粉身碎骨。首屈一指的頂尖菁英鷹野一彦（藤原龍也飾）與火爆新秀田岡亮一（竹内涼真飾）搭檔，奉命至保加利亞營救被中國財團CNOX監禁的特務山下龍二（市原隼人飾）。此時距離山下回報任務進度僅剩五分鐘，為救出山下雙方展開一連串激烈打鬥。五、四、三、二、一，嗶—蹦！山下最終未能即時回報，被總部視為「可能」的叛徒進而引爆心臟炸彈。鷹野與田岡兩人繼續山下未完的任務，並查出山下被監禁的原因與能操控全世界的「次世代能源」有關，各國相繼祭出高額賞金獲取情報，國際特務展開一場鬥智鬥勇的情報爭奪戰！正當陷入苦戰之際，埋在鷹野體內的心臟炸彈到數啟動。時間一分一秒的流逝，面對各方陰謀與死亡威脅襲捲而來，他能即時回報任務，看見明天的太陽嗎！？
34,終極異噬界,動作,2021-03-12,★《特務交鋒》製作團隊打造年度科幻活屍動作鉅作！★「最強光頭」布魯斯威利重裝上陣，脫離地表直飛太空！★《終極警探》布魯斯威利攜手「漫威反派－十字骨」法蘭克葛里洛對抗活屍大軍！★世界末日即將到來，人類能否扭轉未來？世界末日，大開殺戒惡名昭彰的戰爭英雄福特上校（布魯斯威利飾演），帶領士兵對外星活屍展開攻擊，希望在星際大戰爆發之前，拯救這場地球危機。沒想到友軍卻慘遭俘虜，還成為活屍入侵媒介。就當雙方對峙、戰爭一觸即發之際，唯有挺身而出，才能拯救整個人類文明…。【關於電影】年度科幻活屍動作鉅片《終極異噬界》由愛德華德雷克（EdwardDrake）執導，並由《終極警探》（DieHard）中的「硬漢警探」布魯斯威利（BruceWillis），以及《美國隊長》（CaptainAmerica）系列反派角色「十字骨」法蘭克葛里洛（FrankGrillo）領銜主演。劇情聚焦未來世界的西元2524年，人類文明透過量子科技迅速發展。在歷經火星殖民失敗之後，只剩下三個星球還隸屬於人類聯盟掌控。這時，其中一個星球卻試圖發起叛變，慘遭「血腥上校」詹姆士福特丟下「Q炸彈」而被摧毀。此後，他也成為全宇宙最惡名昭彰的戰爭英雄。沒想到在人類以為即將引來和平之際，一個外星活屍種族卻默默入侵地球。他們不但擁有比人類更發達的科技，更能像寄生蟲般入侵人體。人類聯盟只好再度找回詹姆士福特，組織一支隊伍前往外星種族基地，試圖在戰爭爆發前先發制人…。導演透露本片拍攝靈感，認為戰爭中沒有勝利者：「本片原文片名《宇宙罪》（CosmicSin）表達『消除另一種文化，是不可原諒的罪惡，宇宙永遠也不會原諒它。』不過根據我們在歷史中看到的殖民化實踐，當我們遇到外星文明時，也會發生相同的狀況。」本片選在喬治亞州諾克羅斯的OFS工作室進行拍攝。這個場地曾是巨型光纖工廠，一部分成為拍攝區域，讓它具備多種外觀及感覺。它使電影拍攝能創造出獨特環境，並提高電影佈景的精緻度，像是《復仇者聯盟：終局之戰》（Avengers：Endgame）、《哥吉拉》（Godzilla）、《黑豹》（BlackPanther）等好萊塢大片都曾在這邊進行拍攝。本片除了動作巨星布魯斯威利與法蘭克葛里洛之外，也請來美國職業摔角選手拉娜（C.J.Perry）等人共同演出，一同在大銀幕上殲滅活屍異種，大展拳腳功夫。尤其布魯斯威利繼《第五元素》（TheFifthElement）、《世界末日》（Armageddon）兩部叫好叫座的經典科幻電影之後，他將再度飛向太空，並穿上華麗的裝甲服裝，透過精采的槍砲動作場面，奮力對抗活屍大軍，守護人類的最後存亡！全片更精彩打造震撼的視覺特效，輔以精采的緊湊劇情，無疑是年度必看科幻活屍動作鉅片！ 
35,噪反,動作,2021-03-05,描述距今不遠的「近未來」時空，人類移居至的星球飽受「噪音菌」侵害，女人皆已滅亡，男人則可以相互竊聽彼此內心的聲音。一日，少年陶德（湯姆荷蘭德飾）竟遇見一位從天而降的神秘女孩薇拉，兩人身處危機四伏的人類小鎮，為保衛薇拉的安危只得奔走逃亡，卻也意外發現牽動世界安危的暗黑祕密。
36,名偵探柯南：緋色的不在場證明,動作,2021-02-26,赤井家族，真實身分被重重謎團籠罩、錯綜複雜的危險一家。以赤井秀一為中心，聚焦於至今為止部分公開的世良純真、羽田秀吉、瑪麗各自的個性與看點，解明其關聯，華麗帶出赤井秀一在來葉山巔成功復活的「緋色」系列。某件案件中，赤井秀一的宿敵安室透向FBI打聽出「線索」，從此緊追赤井秀一與沖矢昴的關係。在無可比擬的腦力交錯攻防戰後，赤井的回歸為所有觀眾帶來了衝擊。而一連串「不在場證明」真相的背後，都有柯南的身影——。徹底剖析「貫穿世界的危險家族」赤井一家至今為止的軌跡與眾多伏筆，以及他們與柯南的關係。
37,伏魔殿,動作,2021-02-26,★台北藝術大學電影創作研究所畢業作品★2020西班牙錫切斯奇幻影展競賽片入圍作品★2020金馬獎最佳劇情短片入圍作品★2020台北電影獎最佳傑出技術獎–動作設計獎提名★2020台北電影獎最佳造型設計獎提名★2020大阪亞洲電影節上映作品★2020桃園電影節台灣獎競賽入圍作品太保不想當伏魔娘娘的乩身，逃出了伏魔殿；太保不想當仙仔的替死鬼，逃出了地檢署。但太保逃得再快，也快不過阿輕的劍。同為魔君轉世的阿輕將太保帶回伏魔殿繼續贖罪，卻終於發現伏魔娘娘只是在利用她們──伏魔殿的作用就是將世人的罪都轉嫁到她們身上。阿輕幫助太保殺出伏魔殿，卻沒想到太保在最後關頭背叛她，將所有的罪都留給阿輕，獨自逃亡。而太保始終不明白，自己滾滾落下的眼淚所為何來。
38,末日終結戰,動作,2021-02-26,★《決戰中途島》《失控危城》製片團隊重金打造科幻史詩最終章★《毀滅大作戰》《金牌特務：機密對決》特效團隊加持★十年前，外星異種入侵地球；現在，人類誓死反攻！人類與外星異種歷經多年衝突，如今雙方已能和平共存。然而，地球上的友善外星混種，卻在感染一種神祕病毒後性情大變，再度威脅人類的安危。蘿絲柯里上尉臨危受命，率領一支菁英傭兵前往外星世界，只為拯救僅存的人類……。
39,刺殺小說家,動作,2021-02-26,★華文世界電影小說獎首獎得主雙雪濤同名短篇小說改編★《繡春刀》系列億萬大導路陽最新動作奇幻鉅作★《我不是藥神》金獎製片、名導寧浩監製★《流浪地球》特效團隊採用《阿凡達》《猩球崛起》動作捕捉、虛擬拍攝技術，打造華麗炫目奇觀異世界異世界皇都，天神赤髮鬼殘暴統治，濫殺無辜。少年空文因被赤髮鬼追殺，決定奮起反擊。在黑甲的指引下，踏上了凡人弒神之路，這是小說家路空文筆下的奇幻世界。沒想到小說的進展，竟然也影響著現實世界，這時一名男子接下了刺殺他的任務……
40,尖叫旅社：變形怪獸,冒險,2021-10-08,強尼為了獲得岳父德古拉的信任，意外得到變形器而成為一隻大怪獸，還把吸血鬼德古拉和他的怪獸好友們全都變成了人類，整個旅館陷入大危機！為了找到解決方法，不對盤的強尼與德古拉只好搭檔前往南美展開一場大冒險，且在時間的逼近下，兩人必須學會信任彼此，否則他們有可能再也變不回原來的樣貌…。
41,大紅狗克里弗,冒險,2021-09-17,超級巨大的毛茸茸英雄即將登上大銀幕！改編自備受喜愛的經典童書，大紅狗克里弗將會教導全世界如何付出大大的愛！當中學生艾蜜莉伊莉莎白（達比坎普飾）遇見一名擁有魔法的動物救援者（約翰克里斯飾），而他又送給她一隻紅色的小狗狗，她絕對沒想到隔天一覺醒來，竟然會在她位於紐約市的小公寓，發現一隻三米高的巨大獵犬。因為她的單親媽媽（席安娜蓋蘿莉飾）正在出差，於是艾蜜莉和她愛玩又孩子氣的凱西叔叔（傑克懷特霍爾飾）就在被暱稱為大蘋果的紐約市，展開一場驚險刺激的冒險旅程，保證令人看得大呼過癮。
42,汪汪隊立大功電影版,冒險,2021-09-17,《汪汪隊立大功電影版》汪汪隊出發救援！當汪汪隊的死對頭韓丁納當上鄰近的冒險市市長，並且開始大搞破壞的時候，萊德和大家最喜愛的狗狗英雄(阿奇、毛毛、天天、路馬、灰灰、小礫)，就蓄勢待發、準備就緒，直接面對這個艱難的挑戰。雖然有一隻狗狗必須在冒險市面對他的過去，但是汪汪隊也得到一名新盟友的幫助，那是一隻叫莉柏蒂的臘腸犬。汪汪隊靠著全新的道具和裝備，為了拯救冒險市的市民，同心協力、冒險犯難！加入這部全新驚險刺激的首部大銀幕冒險動畫長片的是原創動畫影集的配音演員陣容，以及全新的配音演員，包括伊恩阿米塔格、瑪賽馬汀、朗帕多、雅拉沙希迪、金卡戴珊威斯特、朴藍道、戴克斯薛普，以及泰勒派瑞與吉米基墨並且特別介紹威爾布里斯賓。
43,路卡的夏天,冒險,2021-08-06,皮克斯全新原創《路卡的夏天》，故事背景發生在美麗的義大利濱海小鎮里維埃拉，一位名叫路卡的海怪男孩的難忘夏天，他與新摯友們在夏天經歷的無數冒險，包含他們在島上參加的競賽，但最刺激的不是競賽本身，而是隱藏他們呼之欲出的海怪身份…《路卡的夏天》是一個成長的故事，海怪男孩是曾經的你我，好奇心驅使你走出舒適圈，遇見真誠的友誼，學習鼓起勇氣由衷生活，完成自以為不可能的夢想…
44,群青戰記,冒險,2021-07-22,★《週刊YoungJump》人氣漫畫改編，原作銷量突破百萬冊！★新田真劍佑首次單獨主演電影，苦練弓道親自上陣★三浦春馬最後身影，詮釋征夷大將軍德川家康★〈日本藍絲帶最佳男主角〉松山研一，搖身一代梟雄織田信長★人氣漫改導演本廣克行，再次完美改編真人化電影★知名作曲家菅野祐悟再次擔綱本廣克行電影配樂製作下一場比賽的對手竟然是織田信長？穿越到戰國時代的高校運動健將們向命運發起挑戰！總是把體育競賽獲勝當作唯一目標的校園社團。某一天，他們依舊過著平凡的日常，沒自信的弓道部成員西野蒼（新田真劍佑　飾），對社團活動總是提不起勁，令青梅竹馬瀨野遙（山崎紘菜　飾）和松本考太（鈴木伸之　飾）為他擔心。然而一道打中校園的落雷，令眾人的生活掀起巨變。校園外熟悉的風景變成一望無際的原野，持刀的武士襲擊校園，讓全校學生陷入恐慌！在學生一個個倒下之際，熱愛歷史的蒼意識到全校穿越時空來到戰國時代，而且是史上著名的桶狹間之戰的前夕。同伴不斷被織田信長（松山研一　飾）的軍隊抓走，感到茫然的蒼卻與後來將成為君主的德川家康──武將松平元康（三浦春馬　飾）上演一場命運般的相遇。在元康的帶領下，蒼與各社團的王牌選手們立志要拯救同伴。他們能否在戰國時代存活下去、返回原本的世界？歷史上從沒記載、前所未聞的高中運動員對戰國武士的戰鬥，即將開始！【關於電影】集英社《週刊YOUNGJUMP》連載，別具特色的漫畫《群青戰記》，集結社團活動、青春和歷史於一身，這部人氣作品如今拍成真人版電影。主演陣容鼎盛，包括新田真剣佑、山崎紘菜、鈴木伸之、渡邊圭祐、三浦春馬和松山研一。本片由日本著名導演本廣克行執導，製作出空前絕後的超強娛樂作品。
